id;user;item;answer;correct;moves;responseTime;time
134;12;14;sdf fds sdf fds sdf fds sdf fds sdf fds sdf fds lkj jkl lkj jkl lkj jkl lkj jkl lkj jkl lkj jkl sdffj jfs sfj jfssfj jfs sfj jfs sfj jfs sfj jfs ljk fjl ljk fjl ljk fjl;1;168;59550;2021-03-19 14:45:58
135;2;12;9 |;1;42;7900;2021-03-20 15:11:37
136;2;12;0A|0h|;1;16;3750;2021-03-20 15:19:02
137;2;12;0o|0s|0k|0d|0s|0o|0k|0s|0o|0f|0k|0f|0s|0o|0f|0k|0s|0f|0o|0s|0f|0k|0o|0s|0f|0k|0o|0s|0f|0k|0e|0d|0o|0k|0g|0o|0d|0k|0g|0d|0g|0k|0o|0d|0k|0g|0s|0d|0s|0p|0d|0o|0g|0k|;1;68;7300;2021-03-20 15:22:05
138;2;12;;1;14;1950;2021-03-20 15:22:15
139;2;12;;1;14;2100;2021-03-20 15:22:44
140;2;12;;1;14;4600;2021-03-20 15:23:46
141;2;12;;1;48;4750;2021-03-20 15:24:26
142;2;12;;1;52;5600;2021-03-20 15:25:31
143;2;12;;1;52;4700;2021-03-20 15:26:11
144;2;12;25 |;1;109;12750;2021-03-20 15:26:29
145;16609272;12;0y|0y|0y|0z|0z|0z|0z|0z|0z|0y|0y|0y|0y|0z|0z|0y|0y|0z|0z|0y|0y|15y|15u|32s|34 |;1;129;145300;2021-03-20 16:55:56
146;16609272;12;0y|0y|0z|0z|0z|1s|1q|1w|1e|1y|1x|1c|1v|1b|2l|18o|45b|45o|45 |10 |;1;124;45050;2021-03-20 18:26:01
147;170587;12;34 |;1;105;39300;2021-03-20 19:13:13
148;170587;12;2j|48 |;1;106;46950;2021-03-20 19:14:12
149;12;11;6d|6 |43e|;1;56;24600;2021-03-21 09:36:05
150;20168844;12;;0;0;0;2021-03-21 13:36:42
151;20168844;12;;0;0;0;2021-03-21 13:36:56
